trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2123911,9,248818,Penn Station New York,3812,0,3812,9,
2123913,9,248818,Jersey Avenue,3701,1,3701,109,
2123914,10,248818,Long Branch,3209,1,3209,120,
2123915,9,248818,Trenton Station,3803,1,3803,109,
2123917,7,248818,Dover,6651,1,6651,127,
2123920,9,248818,Trenton Station,3867,1,3867,109,
2123921,15,248818,Penn Station New York,5152,0,5152,15,
2123922,9,248818,Trenton Station,3813,1,3813,109,
2123923,9,248818,Penn Station New York,3800,0,3800,9,
2123925,9,248818,Penn Station New York,3882,0,3882,9,
2123926,15,248818,Newark Penn Station,5746,0,5746,15,
2123927,15,248818,Penn Station New York,5170,0,5170,15,
2123928,9,248818,Penn Station New York,3888,0,3888,9,
2123929,10,248818,Penn Station New York,3276,0,3276,20,
2123941,2,248818,Penn Station New York,6270,0,6270,22,
2123942,9,248818,Trenton Station,3879,1,3879,109,
2123943,10,248818,Penn Station New York,3516,0,3516,20,
2123944,9,248818,Trenton Station,3979,1,3979,109,
2123945,9,248818,Trenton Station,3877,1,3877,109,
2123946,2,248818,Penn Station New York,6210,0,6210,22,
2123947,14,248818,Princeton Station,4105,1,4105,114,
2123948,14,248818,Princeton Junction,4106,0,4106,14,
2123950,9,248818,Penn Station New York,3706,0,3706,9,
2123951,9,248818,Penn Station New York,3814,0,3814,9,
2123952,7,248818,Penn Station New York,6610,0,6610,27,
2123953,9,248818,Penn Station New York,3920,0,3920,9,
2123954,9,248818,Penn Station New York,3922,0,3922,9,
2123955,7,248818,Penn Station New York,6614,0,6614,27,
2123956,7,248818,Penn Station New York,6314,0,6314,27,
2123957,7,248818,Penn Station New York,6612,0,6612,27,
2123959,10,248818,Penn Station New York,3502,0,3502,20,
2123960,8,248818,Penn Station New York,6410,0,6410,28,
2123961,9,248818,Penn Station New York,3914,0,3914,9,
2123962,9,248818,Penn Station New York,3924,0,3924,9,
2123963,10,248818,Penn Station New York,3312,0,3312,20,
2123964,10,248818,Penn Station New York,3224,0,3224,20,
2123965,9,248818,Penn Station New York,3712,0,3712,9,
2123966,7,248818,Penn Station New York,6318,0,6318,27,
2123967,10,248818,Penn Station New York,3504,0,3504,20,
2123969,9,248818,Penn Station New York,3926,0,3926,9,
2123970,10,248818,Long Branch,4324,0,4324,10,
2123971,14,248818,Princeton Junction,4108,0,4108,14,
2123972,14,248818,Princeton Station,4109,1,4109,114,
2123973,14,248818,Princeton Junction,4110,0,4110,14,
2123975,9,248818,Trenton Station,3943,1,3943,109,
2123976,9,248818,Jersey Avenue,3723,1,3723,109,
2123977,9,248818,Trenton Station,3947,1,3947,109,
